path	audience	depth	via	md_in	code_in	index_in	bytes
AGENTS.md	agent	0	(root)	29	42	5	62852
CHANGELOG.md	adopter	1	README.md	16	7	4	340962
CLAUDE.md	agent	0	(root)	2	3	1	1918
CODE_OF_CONDUCT.md	contributor	1	README.md	1	0	1	520
CONFIGURATION.md	adopter	1	README.md	54	5	5	181750
CONTRIBUTING.md	contributor	0	(root)	5	5	2	13278
DEPLOYMENT.md	adopter	1	README.md	25	12	5	79415
NOTICE.md	adopter	1	README.md	1	0	1	600
README.md	router	0	(root)	13	23	4	15792
REVIEW.md	contributor	-1	(root)	0	0	0	18923
SECURITY.md	adopter	1	README.md	7	2	5	4679
SUPPORT.md	member	1	README.md	1	1	1	685
docs/ARCHITECTURE.md	contributor	1	README.md	53	19	5	226210
docs/AUDIT_RETENTION_ARCHIVE_RUNBOOK.md	operator	1	docs/README.md	5	2	2	12392
docs/AUTHORITATIVE_FEES.md	operator	1	README.md	14	2	5	20597
docs/BLUE_GREEN_MIGRATION_POLICY.md	contributor	1	README.md	12	10	5	31282
docs/CANCELLATIONS.md	operator	1	README.md	11	1	5	27939
docs/CAPACITY_MODEL.md	contributor	1	AGENTS.md	16	13	3	46351
docs/CONCURRENCY_AND_LOCKING.md	contributor	1	AGENTS.md	20	48	4	212987
docs/COVERAGE_MATRIX.md	contributor	1	AGENTS.md	5	0	3	26441
docs/DOMAIN_INVARIANTS.md	contributor	1	README.md	37	29	5	65746
docs/E2E_PLAYWRIGHT.md	contributor	1	README.md	8	17	4	64319
docs/END_TO_END_TEST_MATRIX.md	contributor	1	AGENTS.md	11	24	3	197003
docs/IMPLEMENTATION_GUIDE.md	adopter	1	README.md	4	0	3	11045
docs/INDUCTION_BASELINE_RUNBOOK.md	operator	1	docs/README.md	4	1	1	30016
docs/LOAD_TESTING.md	contributor	1	docs/README.md	4	6	2	17519
docs/MAINTENANCE.md	operator	1	README.md	16	9	5	60807
docs/ONGOING_DEVELOPMENT_WORKFLOW.md	adopter	1	README.md	5	0	3	3030
docs/PRODUCTION_UPGRADE_RUNBOOK.md	operator	1	README.md	11	8	2	87693
docs/PUBLIC_PAGE_CONTENT_TOKENS.md	operator	1	AGENTS.md	10	1	3	11828
docs/README.md	router	0	(root)	94	4	9	23117
docs/SECURITY-ATTACK-SURFACE.md	contributor	1	AGENTS.md	17	10	5	264847
docs/SECURITY.md	contributor	1	README.md	8	0	5	2025
docs/STAGING_ACCESSIBILITY.md	contributor	1	README.md	8	0	3	16522
docs/STATE_MACHINES.md	contributor	1	README.md	43	8	5	173626
docs/STYLE_GUIDE.md	contributor	1	AGENTS.md	7	3	5	17387
docs/TESTING.md	contributor	1	README.md	7	23	5	29485
docs/TOKEN_HASHING.md	contributor	1	AGENTS.md	4	1	2	860
docs/UPGRADING.md	adopter	1	README.md	24	11	3	119544
docs/UX_FLOW_MAP.md	contributor	1	README.md	11	1	6	313773
docs/XERO_MEMBER_GROUPING_RUNBOOK.md	operator	1	docs/README.md	7	0	2	14376
docs/agents/CODEX_PROMPTS.md	agent	1	docs/README.md	1	0	1	6729
docs/agents/CODEX_WORKFLOW.md	agent	1	AGENTS.md	9	4	3	12705
docs/agents/DATASET_RESET_INVENTORY.md	agent	1	docs/README.md	1	0	1	5238
docs/agents/ISSUE_WORKFLOW.md	agent	1	AGENTS.md	3	4	2	10378
docs/agents/PROFILE_GUIDE.md	agent	1	docs/README.md	2	0	2	1612
docs/agents/PROMPT_INJECTION_GUIDE.md	agent	1	AGENTS.md	8	0	3	1598
docs/agents/REVIEW_SEVERITY.md	agent	1	docs/README.md	3	1	1	2932
docs/agents/SCOPED_CONTEXT.md	agent	1	AGENTS.md	4	1	2	5795
docs/agents/SUBAGENT_GUIDE.md	agent	1	AGENTS.md	2	1	2	1967
docs/agents/codex/profiles/README.md	agent	2	docs/agents/PROFILE_GUIDE.md	1	0	0	604
docs/agents/codex/skills/README.md	agent	2	docs/agents/CODEX_PROMPTS.md	1	0	0	1011
docs/agents/codex/skills/alpineclub-issue-worker/SKILL.md	agent	3	docs/agents/codex/skills/README.md	1	0	1	1632
docs/agents/codex/skills/alpineclub-lifecycle-review/SKILL.md	agent	3	docs/agents/codex/skills/README.md	1	0	1	1534
docs/agents/codex/skills/alpineclub-payment-review/SKILL.md	agent	3	docs/agents/codex/skills/README.md	1	0	1	1588
docs/agents/codex/skills/alpineclub-security-review/SKILL.md	agent	3	docs/agents/codex/skills/README.md	1	0	1	1634
docs/agents/codex/skills/alpineclub-ux-review/SKILL.md	agent	3	docs/agents/codex/skills/README.md	1	0	1	1275
docs/ai-diagnostics/README.md	contributor	1	docs/README.md	15	0	2	51131
docs/ai-diagnostics/architecture.md	contributor	1	docs/README.md	5	0	3	15403
