# File-size budget baseline (#2687). Generated - do not hand-edit.
#
# Every tracked production source file that is currently OVER its documented
# size budget, with the line count that is now its ceiling. This is a debt
# ledger, not a second budget: the budgets in docs/MAINTENANCE.md stay the
# target and this file is expected to shrink.
#
#   route-handler     src/app/**/route.ts(x)     <= 250 LOC
#   route-page-shell  src/app/**/page.tsx        <= 500 LOC
#   domain-module     every other src/**/*.ts(x) <= 700 LOC
#
# Scope is tracked source under src/ only, tests excluded, in any of
# .ts .tsx .mts .cts .js .jsx .mjs .cjs. Everything outside src/ - scripts/,
# prisma/, e2e/, load/, measurement/ - is outside this policy by definition
# and never appears here. A tracked src/ file carrying any other extension
# fails the check rather than dropping quietly out of scope.
#
# The ratchet: a file that is not listed may not go over budget, and a file
# that is listed may not exceed the number recorded below. Shrinking is
# always allowed and lowers the ceiling.
#
#   npm run quality:budget          verify (also a step in CI's `verify` job)
#   npm run quality:budget:update   regenerate against the working tree
#
# Regenerate; never hand-edit, and after a rebase regenerate against the
# rebased tree rather than merging counts by hand. A deliberate increase is
# allowed but must land as a changed line here, with the reason in the PR
# body - there is no exceptions list that bypasses this file.
#
# Format: one record per line, sorted by path.
#   <path> <loc> <budget-category>
src/app/(admin)/admin/audit-log/page.tsx 1083 route-page-shell
src/app/(admin)/admin/backups/backups-client.tsx 797 domain-module
src/app/(admin)/admin/bed-allocation/page.tsx 1524 route-page-shell
src/app/(admin)/admin/book/page.tsx 1301 route-page-shell
src/app/(admin)/admin/bookings/page.tsx 706 route-page-shell
src/app/(admin)/admin/chores/page.tsx 619 route-page-shell
src/app/(admin)/admin/committee/page.tsx 796 route-page-shell
src/app/(admin)/admin/config-transfer/page.tsx 643 route-page-shell
src/app/(admin)/admin/dashboard/page.tsx 846 route-page-shell
src/app/(admin)/admin/deletion-requests/deletion-requests-client.tsx 1488 domain-module
src/app/(admin)/admin/display/builder/display-builder.tsx 1297 domain-module
src/app/(admin)/admin/display/devices/page.tsx 512 route-page-shell
src/app/(admin)/admin/display/layouts/page.tsx 1067 route-page-shell
src/app/(admin)/admin/display/reference/page.tsx 579 route-page-shell
src/app/(admin)/admin/display/setup/display-wizard-steps.tsx 1445 domain-module
src/app/(admin)/admin/display/templates/page.tsx 1108 route-page-shell
src/app/(admin)/admin/family-groups/page.tsx 863 route-page-shell
src/app/(admin)/admin/fees/_components/hut-fees-section.tsx 853 domain-module
src/app/(admin)/admin/hut-leaders/page.tsx 1022 route-page-shell
src/app/(admin)/admin/image-manager/image-manager-client.tsx 727 domain-module
src/app/(admin)/admin/lockers/page.tsx 633 route-page-shell
src/app/(admin)/admin/lodge/page.tsx 536 route-page-shell
src/app/(admin)/admin/lodges/[id]/page.tsx 602 route-page-shell
src/app/(admin)/admin/lodges/[id]/setup/page.tsx 913 route-page-shell
src/app/(admin)/admin/member-applications/_components/approval-mapping-panel.tsx 736 domain-module
src/app/(admin)/admin/member-applications/page.tsx 790 route-page-shell
src/app/(admin)/admin/members/[id]/_components/member-dependent-dialog.tsx 712 domain-module
src/app/(admin)/admin/members/[id]/page.tsx 1312 route-page-shell
src/app/(admin)/admin/members/_components/member-editor-dialog.tsx 1269 domain-module
src/app/(admin)/admin/members/_components/member-import-dialog.tsx 856 domain-module
src/app/(admin)/admin/members/page.tsx 596 route-page-shell
src/app/(admin)/admin/membership-cancellations/page.tsx 1208 route-page-shell
src/app/(admin)/admin/membership-types/page.tsx 1853 route-page-shell
src/app/(admin)/admin/mountain-conditions/_components/mountain-conditions-panel.tsx 895 domain-module
src/app/(admin)/admin/payments/page.tsx 1296 route-page-shell
src/app/(admin)/admin/promo-codes/promo-codes-page-client.tsx 1662 domain-module
src/app/(admin)/admin/promo-codes/promo-redemptions-panel.tsx 770 domain-module
src/app/(admin)/admin/refund-requests/page.tsx 872 route-page-shell
src/app/(admin)/admin/reports/page.tsx 677 route-page-shell
src/app/(admin)/admin/site-style/site-style-wizard.tsx 986 domain-module
src/app/(admin)/admin/subscriptions/page.tsx 805 route-page-shell
src/app/(admin)/admin/waitlist/page.tsx 1006 route-page-shell
src/app/(admin)/admin/work-parties/page.tsx 540 route-page-shell
src/app/(admin)/admin/xero/_components/health-diagnostics-panel.tsx 711 domain-module
src/app/(admin)/admin/xero/member-grouping/page.tsx 695 route-page-shell
src/app/(authenticated)/book/_components/review-step.tsx 957 domain-module
src/app/(authenticated)/book/_hooks/use-booking-wizard.ts 1717 domain-module
src/app/(authenticated)/book/page.tsx 663 route-page-shell
src/app/(authenticated)/bookings/[id]/page.tsx 2495 route-page-shell
src/app/(authenticated)/dashboard/page.tsx 792 route-page-shell
src/app/(authenticated)/profile/family-group-section.tsx 1142 domain-module
src/app/(authenticated)/profile/page.tsx 667 route-page-shell
src/app/(lodge)/lodge/kiosk/page.tsx 1151 route-page-shell
src/app/(lodge)/lodge/roster/[date]/setup/page.tsx 822 route-page-shell
src/app/(website)/join/apply/join-apply-page-client.tsx 797 domain-module
src/app/api/admin/age-tier-settings/route.ts 269 route-handler
src/app/api/admin/ai-diagnostics/ask/route.ts 592 route-handler
src/app/api/admin/booking-exception-requests/[id]/route.ts 745 route-handler
src/app/api/admin/booking-policies/adult-member-hosting/route.ts 432 route-handler
src/app/api/admin/booking-policies/minimum-stay/[id]/route.ts 287 route-handler
src/app/api/admin/bookings/[id]/capacity-hold/route.ts 360 route-handler
src/app/api/admin/bookings/[id]/confirm-pending-guests/route.ts 742 route-handler
src/app/api/admin/bookings/[id]/exclusive-hold/route.ts 422 route-handler
src/app/api/admin/bookings/[id]/force-confirm/route.ts 363 route-handler
src/app/api/admin/bookings/[id]/mark-paid/route.ts 251 route-handler
src/app/api/admin/bookings/[id]/return-to-waitlist/route.ts 410 route-handler
src/app/api/admin/bookings/[id]/review/route.ts 330 route-handler
src/app/api/admin/bookings/search/route.ts 258 route-handler
src/app/api/admin/committee/assignments/[id]/route.ts 255 route-handler
src/app/api/admin/deletion-requests/[id]/route.ts 1233 route-handler
src/app/api/admin/email-templates/route.ts 578 route-handler
src/app/api/admin/family-groups/[id]/login-holder/route.ts 442 route-handler
src/app/api/admin/family-groups/[id]/route.ts 294 route-handler
src/app/api/admin/fee-configuration/route.ts 480 route-handler
src/app/api/admin/hut-leaders/eligible-members/route.ts 277 route-handler
src/app/api/admin/hut-leaders/route.ts 277 route-handler
src/app/api/admin/image-manager/directories/route.ts 255 route-handler
src/app/api/admin/induction-templates/[id]/route.ts 253 route-handler
src/app/api/admin/integrations/credentials/route.ts 279 route-handler
src/app/api/admin/issue-reports/[id]/route.ts 259 route-handler
src/app/api/admin/lodge/route.ts 454 route-handler
src/app/api/admin/member-guest-settings/route.ts 262 route-handler
src/app/api/admin/members/[id]/dependents/link/route.ts 440 route-handler
src/app/api/admin/members/[id]/xero-link/route.ts 256 route-handler
src/app/api/admin/members/[id]/xero-push/route.ts 383 route-handler
src/app/api/admin/members/bulk-update/route.ts 714 route-handler
src/app/api/admin/members/export/route.ts 507 route-handler
src/app/api/admin/members/import/route.ts 764 route-handler
src/app/api/admin/membership-types/[id]/merge/route.ts 301 route-handler
src/app/api/admin/membership-types/[id]/route.ts 438 route-handler
src/app/api/admin/mountain-conditions/route.ts 438 route-handler
src/app/api/admin/page-content/route.ts 798 route-handler
src/app/api/admin/promo-codes/[id]/redemptions/route.ts 364 route-handler
src/app/api/admin/promo-codes/[id]/route.ts 447 route-handler
src/app/api/admin/promo-codes/route.ts 299 route-handler
src/app/api/admin/refund-requests/[id]/route.ts 455 route-handler
src/app/api/admin/reports/route.ts 340 route-handler
src/app/api/admin/subscription-billing/route.ts 318 route-handler
src/app/api/admin/subscriptions/route.ts 409 route-handler
src/app/api/admin/xero/force-sync/route.ts 325 route-handler
src/app/api/admin/xero/import-member-contact/route.ts 351 route-handler
src/app/api/admin/xero/item-code-mappings/route.ts 384 route-handler
src/app/api/admin/xero/member-grouping/route.ts 382 route-handler
src/app/api/bookings/[id]/arrival-time/route.ts 355 route-handler
src/app/api/bookings/[id]/change-requests/route.ts 564 route-handler
src/app/api/bookings/[id]/confirm-draft/route.ts 389 route-handler
